City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,afaahiti,-17.75,-149.2833,25.93,78,68,4.65,PF,1691348134
1,saipan,15.1355,145.701,27.39,100,0,0.45,MP,1691348119
2,waitangi,-43.9535,-176.5597,8.94,70,100,5.65,NZ,1691348114
3,whitehorse,60.7161,-135.0538,22.43,46,20,5.66,CA,1691347892
4,longyearbyen,78.2186,15.6401,10.91,76,75,3.6,SJ,1691348141
5,mount gambier,-37.8333,140.7667,4.79,93,2,0.84,AU,1691348287
6,timaru,-44.4,171.25,3.93,97,100,2.26,NZ,1691348289
7,tralee,52.2704,-9.7026,15.14,72,20,2.57,IE,1691348120
8,bethel,41.3712,-73.414,29.75,54,20,1.54,US,1691348083
9,bredasdorp,-34.5322,20.0403,10.89,92,0,0.78,ZA,1691348139
10,port-aux-francais,-49.35,70.2167,5.19,90,100,12.24,TF,1691348113
11,puerto ayora,-0.7393,-90.3518,29.98,83,52,3.58,EC,1691348142
12,sorong,-0.8833,131.25,25.94,82,99,7.43,ID,1691348289
13,badger,64.8,-147.5333,23.41,57,100,2.57,US,1691347937
14,invercargill,-46.4,168.35,4.45,96,17,1.34,NZ,1691348115
15,olonkinbyen,70.9221,-8.7187,3.51,90,100,11.25,SJ,1691348124
16,puerto natales,-51.7236,-72.4875,2.68,70,7,3.55,CL,1691348128
17,port lincoln,-34.7333,135.8667,10.49,77,90,3.46,AU,1691348131
18,avarua,-21.2078,-159.775,20.03,100,100,1.54,CK,1691348122
19,hancheng,32.5186,112.3522,25.63,84,15,4.21,CN,1691348290
20,jayapura,-2.5333,140.7,24.66,91,100,2.31,ID,1691348096
21,tahe,52.3333,124.7333,13.34,66,100,1.21,CN,1691348146
22,kharp,66.8014,65.8081,21.05,62,61,0.52,RU,1691348290
23,albany,42.6001,-73.9662,28.29,45,100,0.45,US,1691348073
24,enewetak,11.3474,162.3373,28.34,75,100,3.61,MH,1691348113
25,lepsy,46.235,78.9456,28.63,31,100,6.1,KZ,1691348290
26,ushuaia,-54.8,-68.3,-1.19,86,75,13.89,AR,1691348117
27,ciudad lazaro cardenas,17.9583,-102.2,29.48,68,88,1.42,MX,1691348291
28,vorkuta,67.5,64.0,17.44,95,100,3.24,RU,1691348291
29,talnakh,69.4865,88.3972,16.23,66,6,1.29,RU,1691348123
30,al muwayh,22.4333,41.7583,30.53,19,9,9.2,SA,1691348291
31,bilibino,68.0546,166.4372,1.44,89,100,3.8,RU,1691348133
32,chandler,33.3062,-111.8412,42.21,16,0,2.57,US,1691348291
33,nelson bay,-32.7167,152.15,12.83,97,95,4.47,AU,1691348291
34,kuta,-8.7233,115.1723,25.0,88,40,4.12,ID,1691348292
35,papatowai,-46.5619,169.4708,6.93,94,100,1.76,NZ,1691348119
36,uturoa,-16.7333,-151.4333,25.52,78,46,4.65,PF,1691348139
37,haiku-pauwela,20.9219,-156.3051,27.32,60,20,3.58,US,1691348145
38,edinburgh of the seven seas,-37.0676,-12.3116,10.31,69,38,19.19,SH,1691348115
39,northam,51.0333,-4.2167,16.45,82,1,5.5,GB,1691348146
40,kodiak,57.79,-152.4072,11.73,94,100,2.57,US,1691348119
41,west island,-12.1568,96.8225,25.99,89,40,3.6,CC,1691348116
42,igarka,67.4667,86.5833,14.48,60,0,3.79,RU,1691348292
43,kayangel,8.0823,134.7173,26.9,83,100,8.03,PW,1691348293
44,hamilton,39.1834,-84.5333,31.23,61,20,6.69,US,1691348116
45,lihue,21.9789,-159.3672,27.77,71,20,4.12,US,1691348133
46,talalayivka,50.9578,31.9209,30.55,36,0,10.12,UA,1691348293
47,malabar,-33.9667,151.25,11.55,85,100,2.57,AU,1691348293
48,adamstown,-25.066,-130.1015,20.47,67,87,9.22,PN,1691348114
49,alekseyevka,50.6309,38.6903,25.88,51,0,5.53,RU,1691348293
50,port alfred,-33.5906,26.891,17.32,87,50,1.34,ZA,1691348293
51,socorro,31.6546,-106.3033,40.56,11,20,2.06,US,1691348004
52,arkhangel'sk,64.5401,40.5433,14.24,88,13,1.59,RU,1691348069
53,ribeira grande,38.5167,-28.7,24.32,73,40,4.47,PT,1691348145
54,grytviken,-54.2811,-36.5092,-7.89,78,100,1.75,GS,1691348115
55,fort st. john,56.2499,-120.8529,21.94,60,75,1.54,CA,1691348227
56,gagarin,55.5529,34.9954,24.08,69,0,5.53,RU,1691348294
57,richards bay,-28.783,32.0377,18.01,78,0,3.7,ZA,1691348133
58,elko,41.0002,-115.5012,26.75,31,0,5.81,US,1691348294
59,agat village,13.3886,144.6585,26.52,92,75,0.0,GU,1691348294
60,kidal,18.4411,1.4078,35.02,33,91,4.03,ML,1691348141
61,port elizabeth,-33.918,25.5701,15.16,82,0,4.63,ZA,1691347842
62,aripuana,-9.1667,-60.6333,38.9,18,100,1.42,BR,1691348294
63,punta arenas,-53.15,-70.9167,2.45,64,47,8.52,CL,1691348118
64,padang,-0.9492,100.3543,26.03,88,28,1.32,ID,1691348295
65,liman,48.9884,37.8023,26.99,45,0,4.55,UA,1691348234
66,balezino,57.9796,53.0106,17.4,80,86,3.51,RU,1691348295
67,acapulco de juarez,16.8634,-99.8901,32.44,55,95,2.9,MX,1691348140
68,kepala batas,5.5171,100.4265,27.97,100,40,1.54,MY,1691348295
69,lompoc,34.6391,-120.4579,28.08,87,100,4.12,US,1691348147
70,iqaluit,63.7506,-68.5145,9.85,76,40,3.09,CA,1691348116
71,sakakah,29.9697,40.2064,33.76,12,0,4.04,SA,1691348295
72,hwange,-18.3693,26.5019,18.12,49,1,1.85,ZW,1691348295
73,blackmans bay,-43.0167,147.3167,5.29,94,18,2.01,AU,1691348117
74,penha,-26.7694,-48.6458,22.93,68,0,6.17,BR,1691348296
75,new norfolk,-42.7826,147.0587,5.95,97,13,1.3,AU,1691348140
76,hawaiian paradise park,19.5933,-154.9731,22.8,92,100,4.63,US,1691348136
77,xilin hot,43.9667,116.0333,16.37,85,9,2.99,CN,1691348296
78,remire-montjoly,4.9167,-52.2667,32.02,66,0,5.66,GF,1691348122
79,tazovsky,67.4667,78.7,14.5,62,15,2.78,RU,1691348296
80,butembo,0.15,29.2833,16.84,62,13,1.37,CD,1691348118
81,yellowknife,62.456,-114.3525,19.29,45,40,1.54,CA,1691348124
82,xining,36.6167,101.7667,12.32,84,13,1.22,CN,1691348297
83,luena,-11.7833,19.9167,15.83,35,0,1.69,AO,1691348297
84,guasdualito,7.2424,-70.7324,30.98,70,40,1.54,VE,1691348297
85,lakota,5.8528,-5.6883,22.52,98,75,1.46,CI,1691348297
86,atvidaberg,58.2015,15.9977,15.33,99,100,4.73,SE,1691348297
87,yuzhno-kurilsk,44.0306,145.8556,14.18,97,100,2.57,RU,1691348297
88,abadeh,31.1608,52.6506,25.78,17,38,2.94,IR,1691348297
89,jiutai,44.1525,125.8328,18.19,98,98,1.75,CN,1691348297
90,oviedo,43.3603,-5.8448,18.49,76,27,3.13,ES,1691348298
91,tual,-5.6667,132.75,25.48,82,7,9.98,ID,1691348298
92,tura,25.5198,90.2201,24.17,99,100,2.7,IN,1691348114
93,dunedin,-45.8742,170.5036,8.22,80,52,2.24,NZ,1691348298
94,crane,31.3974,-102.3501,39.76,18,0,6.75,US,1691348298
95,sidi khaled,34.387,4.9879,32.92,19,0,3.39,DZ,1691348120
96,teguise,29.0605,-13.564,24.12,65,20,6.17,ES,1691348298
97,acarau,-2.8856,-40.12,29.5,60,4,9.48,BR,1691348017
98,lebu,-37.6167,-73.65,13.49,65,0,1.99,CL,1691348121
99,dryden,49.7833,-92.7503,24.16,50,20,1.54,CA,1691348299
100,merowe,18.4833,31.8167,33.16,42,91,3.87,SD,1691348299
101,hadibu,12.65,54.0333,25.66,80,100,8.21,YE,1691348145
102,st. john's,47.5649,-52.7093,16.2,96,100,4.63,CA,1691348299
103,nakambala,-15.8324,27.7799,17.42,63,6,3.73,ZM,1691348299
104,barra de santo antonio,-9.4047,-35.5072,26.6,85,49,5.16,BR,1691348299
105,san patricio,28.017,-97.5169,38.4,42,0,7.82,US,1691348147
106,kharkhorin,47.1975,102.8238,12.38,82,36,1.45,MN,1691348299
107,okhotsk,59.3833,143.3,13.55,78,56,2.47,RU,1691348299
108,natal,-5.795,-35.2094,29.12,61,20,10.8,BR,1691348146
109,guamal,9.1433,-74.2238,36.84,44,32,1.76,CO,1691348300
110,geraldton,-28.7667,114.6,16.23,88,100,3.09,AU,1691348137
111,pariaman,-0.619,100.12,26.03,87,19,1.26,ID,1691348300
112,east london,-33.0153,27.9116,17.52,88,100,3.6,ZA,1691348119
113,aracuai,-16.8497,-42.0703,30.59,20,100,3.63,BR,1691348300
114,kapa'a,22.0752,-159.319,28.18,72,20,4.12,US,1691348300
115,sisimiut,66.9395,-53.6735,9.72,69,8,4.28,GL,1691348300
116,ar ruways,24.1103,52.7306,34.22,76,10,4.79,AE,1691348301
117,pacific grove,36.6177,-121.9166,28.69,86,20,4.92,US,1691348033
118,sao tome,0.3365,6.7273,24.47,75,55,3.65,ST,1691348301
119,hasaki,35.7333,140.8333,26.28,91,11,4.58,JP,1691348121
120,wailua homesteads,22.0669,-159.378,27.44,77,20,4.12,US,1691348125
121,anadyr,64.75,177.4833,11.28,81,75,3.0,RU,1691348130
122,carnarvon,-24.8667,113.6333,20.48,72,73,2.92,AU,1691348117
123,dalandzadgad,43.5708,104.425,25.22,17,0,2.62,MN,1691348301
124,luba,3.4568,8.5547,25.94,85,100,4.01,GQ,1691348135
125,selfoss,63.9331,-20.9971,13.36,84,98,1.85,IS,1691348301
126,santa fe,-31.6333,-60.7,29.41,48,0,5.52,AR,1691348161
127,ilulissat,69.2167,-51.1,10.01,57,0,2.06,GL,1691348129
128,altay,47.8667,88.1167,19.44,52,80,2.4,CN,1691348302
129,masterton,-40.9597,175.6575,9.38,97,100,1.42,NZ,1691348302
130,arno,60.1167,18.6333,18.21,94,100,8.82,SE,1691348302
131,yangambi,0.8102,24.4336,21.39,96,100,0.93,CD,1691348302
132,inarajan village,13.2736,144.7484,26.54,97,100,1.94,GU,1691348302
133,sitka,57.0531,-135.33,17.94,88,100,1.54,US,1691348302
134,fort bragg,35.139,-79.006,34.55,50,40,3.09,US,1691348134
135,tovarkovskiy,53.6822,38.2092,23.04,65,6,4.49,RU,1691348303
136,turochak,52.2576,87.1224,14.25,96,76,0.84,RU,1691348303
